,RMSE,Error > 1m
"(40, 5)",0.4114389048125021,False
"(40, 10)",0.5296973978688297,False
"(45, 5)",9.71866115300905,True
"(45, 10)",28.948255528235972,True
"(50, 5)",28.981209427215376,True
"(50, 10)",19.20119505722317,True
"(50, 15)",9.502253585649067,True
"(50, 20)",9.450266578054158,True
"(50, 25)",47.02599945148169,True
"(50, 30)",0.4767128624349537,False
"(55, 5)",0.7754082613433654,False
"(55, 10)",28.627424670074756,True
"(55, 15)",0.8500300459851003,False
"(55, 20)",0.141638170056581,False
"(55, 25)",0.9785699292647281,False
"(55, 30)",9.204565319712822,True
"(60, 25)",27.770530179691413,True
"(60, 30)",27.59855780133665,True
"(60, 35)",18.181267601732692,True
"(60, 40)",45.33863109091057,True
"(65, 30)",46.22385472883257,True
"(65, 35)",0.16226435052553795,False
"(65, 40)",36.096373698997596,True
"(65, 45)",0.31597292169608465,False
"(65, 50)",0.6483306690667144,False
"(70, 30)",0.34329674864727905,False
"(70, 35)",18.091536011685843,True
"(70, 40)",0.21829806208771732,False
"(70, 45)",0.8749958544875533,False
"(70, 50)",0.10596480888088247,False
"(70, 55)",8.715862938831467,True
"(75, 35)",0.6965992097940479,False
"(75, 40)",0.38455239310647565,False
"(75, 45)",44.520357043593314,True
"(75, 50)",8.71663528414396,True
"(75, 55)",25.906518248661403,True
"(75, 60)",0.5957437301477804,False
"(75, 65)",16.943197946834104,True
"(75, 75)",0.6622012480892874,False
"(80, 25)",0.7414705023538891,False
"(80, 45)",0.0010010410709730417,False
"(80, 50)",0.998977974573874,False
"(80, 55)",0.08710731201869262,False
"(80, 60)",17.058344296443348,True
"(80, 65)",0.20119506294996387,False
"(80, 70)",8.384476107353617,True
"(80, 75)",8.259733738927308,True
"(85, 35)",0.002213631621015771,False
"(85, 50)",0.35925731362567986,False
"(85, 55)",17.188411233605446,True
"(85, 60)",0.28841710642947105,False
"(85, 65)",0.794381713755408,False
"(85, 70)",0.182453947222729,False
"(85, 75)",0.9201258858771112,False
"(85, 80)",16.26656790956753,True
"(85, 85)",1.0787437703573122,True
"(85, 95)",0.7738059473780968,False
"(90, 40)",0.31028444349405837,False
"(90, 60)",0.3568088681901703,False
"(90, 65)",0.6534515049580196,False
"(90, 70)",0.42701048879169434,False
"(90, 75)",0.5552635960924369,False
"(90, 80)",0.5446558907768598,False
"(90, 85)",24.04234897962611,True
"(90, 90)",0.6662601508014325,False
"(90, 95)",15.696468779085235,True
"(90, 100)",0.8764140827459366,False
"(95, 60)",0.5015695194684967,False
"(95, 70)",8.2957971348841,True
"(95, 75)",0.058024006345450185,False
"(95, 80)",8.11953788411603,True
"(95, 85)",0.12213828365960042,False
"(95, 90)",0.8461815609310002,False
"(95, 95)",0.2750337806848762,False
"(95, 100)",23.18718371447736,True
"(95, 105)",0.4771267881069468,False
"(100, 60)",0.8584566003830053,False
"(100, 65)",0.2021226369561765,False
"(100, 70)",0.7936284154486886,False
"(100, 80)",0.29179646659866176,False
"(100, 85)",0.7677377149508839,False
"(100, 90)",0.22752306486018947,False
"(100, 95)",0.8620715927840621,False
"(100, 100)",0.09097112123509779,False
"(100, 105)",15.251693169398017,True
"(100, 110)",0.10112392771039011,False
"(100, 115)",0.8353515252587,False
"(100, 135)",0.5272139186307424,False
"(105, 85)",7.92080799907413,True
"(105, 90)",0.4362996279800827,False
"(105, 95)",0.5497378166750104,False
"(105, 100)",0.5329249613046221,False
"(105, 105)",0.4169919324945942,False
"(105, 110)",0.6829430164539182,False
"(105, 115)",22.174357066486326,True
"(105, 120)",0.8634935608206741,False
